Study_ID	Year	Title	Journal_published_in	Research_area	Insect_order	Insect_family	Development_stage	Target_community_of_microbiome	Sampled	Surface_sterilized	DNA_extraction_kit_used	16S_rRNA_gene_target_region	Did_they_use_negative_controls	What_type(s)	Is_it_reported_how_many_they_did_(blanks/total_samples)	Do_they_report_the_outcome_of_the_negative_controls	Did_they_sequence_the_negative_controls	What_was_the_reason_for_not_sequencing	Was_there_a_comparison_with_their_samples_to_control_for_contamination	How	Did_they_use_qPCR_in_tandem	Do_they_determine_the_limit_of_detection	Relic_DNA	Transient_bacteria	Animal/plant_DNA	Contamination	Is_the_DNA_sequencing_data_publicly_available	If_yes,_accession_code:	is_referenced_by_count
Ayayee	2022	Different_Gut_Microbiomes_of_Developmental_Stages_of_Field-Collected_Native_and_Invasive_Western_Bean_Cutworm,_Striacosta_albicosta,_in_Western_Nebraska	Microorganisms	Microbiology	Lepidoptera	Noctuidae	>1_developmental_stage	Gut	Whole	Yes	MP_Biomedicals	V4-V5	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	No	PRJNA821530	0
Ayayee	2022	Geography,_taxonomy,_and_ecological_guild:_Factors_impacting_freshwater_macroinvertebrate_gut_microbiomes	Ecology_and_Evolution	Freshwater_environments	Multiple	Multiple	Adults	Gut	Whole_and_Gut	Yes	Qiagen	V4-V5	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	PRJNA825559	0
Aylward	2014	Convergent_bacterial_microbiotas_in_the_fungal_agricultural_systems_of_insects	MBio	Microbiology	Multiple	Multiple	Adults	Body	Whole	Yes	Qiagen	V6-V8	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	Yes	No	Yes	IMG/M:_029527003_to_2029527007,_2030936005,_2032320008,_2032320009,_2035918000,_2035918003,_2043231000,_2044078006,_2044078007,_2065487013,_2065487014,_2084038008,_2084038018,_and_2228664020	77
Bai	2022	Analysis_of_Intestinal_Microbial_Diversity_of_Four_Species_of_Grasshoppers_and_Determination_of_Cellulose_Digestibility	Insects	Entomology	Orthoptera	Acrididae	Adults	Gut	Gut	Yes	MoBio_Laboratories	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	No	NA	2
Barribeau	2022	Genetic_variation_and_microbiota_in_bumble_bees_cross-infected_by_different_strains_of_C._bombi	PLoS_ONE	Melittology	Hymenoptera	Apidae	Adults	Gut	Gut	No	Qiagen	V3-V4	Yes	EBCs	1/192	Yes	Yes	NA	Yes	Read_counts	Yes	No	No	No	No	No	Yes	PRJEB52013	2
BelMokhtar	2022	Dynamics_of_the_Gut_Bacteriome_During_a_Laboratory_Adaptation_Process_of_the_Mediterranean_Fruit_Fly,_Ceratitis_capitata	Frontiers_in_Microbiology	Microbiology	Diptera	Tephritidae	>1_developmental_stage	Gut	Gut	Yes	Protocol	V3-V4	Yes	Not_given	No	No	NA	Not_given	No	NA	No	NA	No	No	No	No	Yes	PRJNA822871	4
Berlanga	2016	Gut_Bacterial_Community_of_the_Xylophagous_Cockroaches_Cryptocercus_punctulatus_and_Parasphaeria_boleiriana	PLoS_ONE	Entomology	Blattodea	Cryptocercidae	Adults	Gut	Gut	No	Protocol	V1-V2	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA284583	26
Berman	2018	Cascading_effects_on_bacterial_communities:_cattle_grazing_causes_a_shift_in_the_microbiome_of_a_herbivorous_caterpillar	ISME	Microbiology	Lepidoptera	Erebidae	Juveniles	Body	Whole_and_Gut	Yes	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA395145	14
Birer	2017	Comparative_analysis_of_DNA_extraction_methods_to_study_the_body_surface_microbiota_of_insects:_A_case_study_with_ant_cuticular_bacteria	Molecular_ecology	Microbiome	Hymenoptera	Formicidae	Adults	Cuticular	Wash	No	Qiagen	V5-V6	Yes	EBCs+PCRblanks	Per_batch:_22/116	Yes	Yes	NA	Yes	Heuristically	No	NA	No	No	No	Yes	Yes	Dryad_Digital_Repository_(https://datadryad.org/)_under_https://doi.org/10.5061/dryad.5124t.	18
Birer	2020	Disentangling_the_assembly_mechanisms_of_ant_cuticular_bacterial_communities_of_two_Amazonian_ant_species_sharing_a_common_arboreal_nest	Molecular_ecology	Microbiome	Hymenoptera	Formicidae	Adults	Cuticular	Wash	No	Qiagen	V5-V6	Yes	EBCs+PCRblanks	Per_batch:_12/144	Yes	Yes	NA	Yes	Heuristically	No	NA	No	Yes	No	Yes	Yes	Dryad_Digital_Repository_(https://datadryad.org/)_under_https://doi.org/10.5061/dryad.wh70rxwjn.	14
Bosmans	2018	Hibernation_Leads_to_Altered_Gut_Communities_in_Bumblebee_Queens_(Bombus_terrestris)	Insects	Entomology	Hymenoptera	Apidae	Adults	Gut	Gut	Yes	Protocol	V4	Yes	EBCs+PCRblanks	No	No	NA	Not_given	No	NA	Yes	No	No	No	Yes	Yes	Yes	PRJNA438866	14
Bozorov	2019	Characterization_of_the_gut_microbiota_of_invasive_Agrilus_mali_Matsumara_(Coleoptera:_Buprestidae)_using_high-throughput_sequencing:_uncovering_plant_cell-wall_degrading_bacteria	Scientific_Reports	Microbiome	Coleoptera	Buprestidae	Juveniles	Gut	Whole_and_Gut	Yes	Protocol	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA488360	25
Brumfield	2022	Gut_microbiome_insights_from_16S_rRNA_analysis_of_17-year_periodical_cicadas_(Hemiptera:_Magicicada_spp.)_Broods_II,_VI,_and_X	Scientific_reports	Microbiome	Hemiptera	Cicadidae	>1_developmental_stage	Gut	Gut	Yes	Qiagen	V3-V4	Yes	EBCs	1	No	NA	Not_given	No	NA	No	NA	No	No	No	No	Yes	PRJNA522438	10
Brunetti	2022	Does_diet_breadth_affect_the_complexity_of_the_phytophagous_insect_microbiota_The_case_study_ofÂ_Chrysomelidae	Environmental_microbiology	Microbiology	Multiple	Multiple	Adults	Body	Whole	No	Protocol	V1-V2_V4	Yes	EBCs	No	No	NA	Not_given	No	NA	Yes	No	No	Yes	Yes	Yes	Yes	PRJNA729224	13
Carrasco	2014	Succession_of_the_gut_microbiota_in_the_cockroach_Blattella_germanica	International_microbiology	Microbiology	Blattodea	Ectobiidae	>1_developmental_stage	Gut	Gut	No	Protocol	V1-V3	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	88
Chandler	2014	The_bacterial_communities_of_Drosophila_suzukii_collected_from_undamaged_cherries	PeerJ	Agriculture	Diptera	Drosophilidae	>1_developmental_stage	Gut	Gut	No	Protocol	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	SRX391503	57
Chaturvedi	2017	Sources_of_Variation_in_the_Gut_Microbial_Community_of_Lycaeides_melissa_Caterpillars	Scientific_reports	Microbiome	Lepidoptera	Lycaenidae	Juveniles	Gut	Whole_and_Gut	Yes	MoBio_Laboratories	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	Yes	Yes	Yes	PRJEB19055	24
Chen	2018	Gut_bacterial_and_fungal_communities_of_the_domesticated_silkworm_(Bombyx_mori)_and_wild_mulberry-feeding_relatives	ISME	Microbiome	Lepidoptera	Bombycidae	>1_developmental_stage	Gut	Whole_and_Gut	No	Epicentre	V4-V5	Yes	EBCs+PCRblanks	No	No	NA	Not_given	No	NA	No	NA	Yes	Yes	Yes	No	Yes	PRJNA377390	160
Chen	2018	Comparative_shotgun_metagenomic_data_of_the_silkworm_Bombyx_mori_gut_microbiome	Scientific_data	Microbiome	Lepidoptera	Bombycidae	Juveniles	Gut	Gut	Yes	Protocol	Not_given	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	SRX4515224_SRX4519345	33
Chen	2020	Bacterial_Communities_Associated_with_the_Pine_Wilt_Disease_Insect_VectorMonochamus_alternatus(Coleoptera:_Cerambycidae)_during_the_Larvae_and_Pupae_Stages	Insects	Microbiology	Coleoptera	Cerambycidae	Juveniles	Gut	Gut	Yes	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA560442	17
Chen	2022	Effects_of_Host_Plants_on_Bacterial_Community_Structure_in_Larvae_Midgut_of_Spodoptera_frugiperda	Insects	Microbiome	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	No	NA	9
Choudhary	2021	High_taxonomic_and_functional_diversity_of_bacterial_communities_associated_with_melon_fly,_Zeugodacus_cucurbitae_(Diptera:_Tephritidae)	Current_Microbiology	Microbiology	Diptera	Tephritidae	>1_developmental_stage	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA587221	7
Chua	2018	Microbial_Community_Composition_Reveals_Spatial_Variation_and_Distinctive_Core_Microbiome_of_the_Weaver_Ant_Oecophylla_smaragdina_in_Malaysia	Scientific_reports	Microbiome	Hymenoptera	Formicidae	Adults	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	SUB2165087	22
Coon	2022	Interspecies_microbiome_transplantation_recapitulates_microbial_acquisition_in_mosquitoes	Microbiome	Microbiome	Diptera	Culicidae	>1_developmental_stage	Body	Whole	Yes	Macherey-Nagel	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	PRJNA767109	17
Cui	2021	Midgut_bacterial_diversity_of_a_leaf-mining_beetle,_Dactylispa_xanthospila_(Gestro)_(Coleoptera:_Chrysomelidae:_Cassidinae)	Biodiversity_Data	Microbiome	Coleoptera	Chrysomelidae	>1_developmental_stage	Gut	Gut	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	Yes	Yes	MbPL201910038	1
Cui	2022	Diversity_and_antibacterial_potential_of_the_Actinobacteria_associated_with_Apis_mellifera_ligustica	Frontiers_in_Microbiology	Microbiology	Hymenoptera	Apidae	>1_developmental_stage	Body	Whole_and_Gut	Yes	MP_Biomedicals	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA883759,_PRJNA882994	2
daSilva	2022	Bacterial_diversity_in_Haemagogus_leucocelaenus_(Diptera:_Culicidae)_from_Vale_do_Ribeira,_SÃ£o_Paulo,_Brazil	BMC_Microbiology	Microbiology	Diptera	Culicidae	Adults	Body	Whole	Yes	ZymoBIOMICS	V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	PRJNA820596	4
DeeTan	2022	Bacterial_Survey_in_the_Guts_of_Domestic_Silkworms,_Bombyx_mori_L.	Insects	Entomology	Lepidoptera	Bombycidae	Juveniles	Gut	Gut	No	ZymoBIOMICS	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	Yes	Yes	RR17009362_-_SRR17009393	3
deJonge	2020	Housefly_(Musca_domestica_L.)_associated_microbiota_across_different_life_stages	Scientific_reports	Microbiome	Diptera	Muscidae	>1_developmental_stage	Gut	Gut	No	Qiagen	V1-V3	Yes	EBCs	1	No	NA	Not_given	No	NA	No	NA	No	No	No	No	Yes	PRJEB31063	27
Deutscher	2018	Near_full-length_16S_rRNA_gene_next-generation_sequencing_revealed_Asaia_as_a_common_midgut_bacterium_of_wild_and_domesticated_Queensland_fruit_fly_larvae	Microbiome	Microbiome	Diptera	Tephritidae	Juveniles	Gut	Gut	Yes	MoBio_Laboratories	V4	Yes	EBCs	3/56	Yes	Yes	NA	Yes	Heuristically	No	NA	No	Yes	Yes	Yes	Yes	PRJNA412111	46
Dong	2022	Gut_bacteria_reflect_the_adaptation_of_Diestrammena_japanica_(Orthoptera:_Rhaphidophoridae)_to_the_cave	Frontiers_in_microbiology	Microbiology	Orthoptera	Rhaphidophoridae	Adults	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	https://doi.org/10.6084/m9.figshare.20522079.v1	0
Dong	2022	Diversity_and_metabolic_potentials_of_microbial_communities_associated_with_pollinator_and_cheater_fig_wasps_in_fig-fig_wasp_mutualism_system	Frontiers_in_microbiology	Microbiology	Hymenoptera	Agaonidae	Adults	Body	Whole	Yes	Qiagen	Metagenomics	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA893401	0
Donkersley	2022	Gut_microbial_community_supplementation_and_reduction_modulates_African_armyworm_susceptibility_to_a_baculovirus	FEMS	Microbiology	Lepidoptera	Noctuidae	Juveniles	Gut	Gut	Yes	Qiagen	Full_length	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	SUB9585236	2
Du	2021	Multiple_data_demonstrate_that_bacteria_regulating_reproduction_could_be_not_the_cause_for_the_thelytoky_of_Diglyphus_wani_(Hymenoptera:_Eulophidae)	Insects	Entomology	Hymenoptera	Eulophidae	>1_developmental_stage	Body	Whole	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	5
Du	2022	Dynamics_of_symbiotic_bacterial_community_in_whole_life_stage_of_Harmonia_axyridis_(Coleoptera:_Coccinellidae)	Frontiers_in_microbiology	Microbiology	Coleoptera	Coccinellidae	>1_developmental_stage	Body	Whole	Yes	Tiangen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	SRP254074	3
Duan	2020	Recent_infection_by_Wolbachia_alters_microbial_communities_in_wild_Laodelphax_striatellus_populations	Microbiome	Microbiome	Hemiptera	Delphacidae	Adults	Body	Whole	No	Qiagen	V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	SRP238740	38
Dudek	2017	Metagenomic_survey_of_bacteria_associated_with_the_invasive_ladybird_Harmonia_axyridis_(Coleoptera:_Coccinellidae)	European_journal_of_entomology	Entomology	Coleoptera	Coccinellidae	Adults	Body	Whole	No	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	No	NA	13
Duguma	2013	Bacterial_communities_associated_with_Culex_mosquito_larvae_and_two_emergent_aquatic_plants_of_bioremediation_importance	PloS_ONE	Microbiology	Diptera	Culicidae	Juveniles	Body	Whole	Yes	Qiagen	V3	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	MG-RAST_4984	58
Eason	2022	Characterization_of_Microbial_Communities_from_the_Alimentary_Canal_of_Typhaea_stercorea_(L.)_(Coleoptera:_Mycetophagidae)	Insects	Entomology	Coleoptera	Mycetophagidae	>1_developmental_stage	Gut	Gut	Yes	Qiagen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	0
Eberhard	2022	Exposure_to_Trypanosoma_parasites_induces_changes_in_the_microbiome_of_the_Chagas_disease_vector_Rhodnius_prolixus	Microbiome	Microbiome	Hemiptera	Reduviidae	Adults	Gut	Gut	No	Qiagen	Shotgun_metagenomic_sequencing	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA744378	0
ElHamss	2022	Spatio-temporal_changes_in_endosymbiont_diversity_and_composition_in_the_African_cassava_whitefly,_Bemisia_tabaci_SSA1	Frontiers_of_microbiology	Microbiology	Hemiptera	Aleyrodidae	>1_developmental_stage	Body	Whole	No	Protocol	V4-V5	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	OP160987_to_OP160997	0
Enders	2022	Aphid_species_specializing_on_milkweed_harbor_taxonomically_similar_bacterial_communities_that_differ_in_richness_and_relative_abundance_of_core_symbionts	Scientific_reports	Microbiome	Hemiptera	Aphididae	Adults	Body	Whole	Yes	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	Yes	No	Yes	PRJNA635683	0
Fagen	2012	Characterization_of_the_relative_abundance_of_the_citrus_pathogen_Ca._Liberibacter_asiaticus_in_the_microbiome_of_its_insect_vector,_Diaphorina_citri,_using_high_throughput_16S_rRNA_sequencing	The_open_microbiology_journal	Microbiology	Hemiptera	Liviidae	Adults	Body	Whole	No	Qiagen	V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	No	NA	88
Fakhour	2021	Insight_into_the_bacterial_communities_of_the_subterranean_aphid_Anoecia_corni	PLoS_ONE	Microbiome	Hemiptera	Aphididae	Adults	Body	Whole	Yes	Qiagen	V3-V4	Yes	Not_given	No	Yes	Yes	NA	Yes	Heuristically	Yes	No	No	Yes	No	Yes	Yes	PRJEB35700	0
Fami-Tafreshi	2022	Comparative_analysis_of_bacterial_communities_in_olive_psyllids,_Euphyllura_straminea_and_Euphyllura_pakistanica_expose_proteobacteria_dominance	Journal_of_Applied_Entomology	Entomology	Hemiptera	Aphalaridae	Adults	Body	Whole	Yes	Not_given	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	Yes	No	Yes	https://doi.org/10.5281/zenodo.5910758	0
Gómez-Govea	2022	Suppression_of_Midgut_Microbiota_Impact_Pyrethroid_Susceptibility_in_Aedes_aegypti	Frontiers_in_microbiology	Microbiome	Diptera	Culicidae	Adults	Gut	Gut	Yes	ZymoBIOMICS	V1-V2_V3-V4	No	NA	NA	NA	NA	NA	NA	NA	Yes	No	No	No	No	No	Yes	OK646404-OK64646	3
Ganeshprasad	2022	Gut_bacterial_flora_of_open_nested_honeybee,_Apis_florea	Frontiers_in_Ecology_and_Evolution	Melittology	Hymenoptera	Apidae	Adults	Gut	Gut	Yes	Protocol	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	No	Yes	PRJNA777397	5
Gasz	2021	Bacterial_association_observations_in_Lucilia_sericata_and_Lucilia_cuprina_organs_through_16S_rRNA_gene_sequencing	Applied_microbiology_and_biotechnology	Microbiology	Diptera	Calliphoridae	>1_developmental_stage	Gut	Gut	Yes	MoBio_Laboratories	V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	Yes	No	No	Yes	Yes	PRJNA659848	4
Gauthier	2015	Bacterial_Communities_Associated_with_Host-Adapted_Populations_of_Pea_Aphids_Revealed_by_Deep_Sequencing_of_16S_Ribosomal_DNA	PLoS_ONE	Microbiome	Hemiptera	Aphididae	Adults	Body	Whole	Yes	Qiagen	V4-V5	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	Yes	No	Yes	Yes	KP265043-KP265116	103
Ge	2021	Host_Species_and_Geography_Differentiate_Honeybee_Gut_Bacterial_Communities_by_Changing_the_Relative_Contribution_of_Community_Assembly_Processes	mBio	Melittology	Hymenoptera	Apidae	Adults	Gut	Gut	No	MP_Biomedicals	V3-V4	Yes	Not_given	No	No	NA	Not_given	No	NA	No	NA	No	No	No	Yes	Yes	PRJNA50571	27
Geerinck	2022	Diversity_and_composition_of_the_microbiome_associated_with_eggs_of_the_Southern_green_stinkbug,_Nezara_viridula_(Hemiptera:_Pentatomidae)	MicrobiologyOpen	Microbiology	Hemiptera	Pentatomidae	Juveniles	Both	Whole_and_wash	Yes	Qiagen	V4	Yes	EBCs+PCRblanks	No	Yes	Yes	NA	Yes	Other	Yes	Yes	No	No	Yes	Yes	Yes	PRJNA869923	4
Geng	2022	16S_rRNA_Gene_Sequencing_Reveals_Specific_Gut_Microbes_Common_to_Medicinal_Insects	Frontiers_in_microbiology	Microbiology	Multiple	Multiple	>1_developmental_stage	Gut	Gut	Yes	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	No	NA	1
Giglio	2021	Gut_microbial_community_response_to_herbicide_exposure_in_a_ground_beetle	Journal_of_applied_entomology	Entomology	Coleoptera	Carabidae	Adults	Gut	Gut	Yes	Omega	V4	Yes	EBCs	No	No	NA	Not_given	No	NA	No	NA	No	No	No	Yes	No	NA	14
Gordon	2016	Phylogenetic_evidence_for_ancient_and_persistent_environmental_symbiont_reacquisition_in_Largidae_(Hemiptera:_Heteroptera)	Applied_and_environmental_microbiology	Microbiology	Hemiptera	Heteroptera	Adults	Gut	Gut	Yes	Qiagen	V5-V6	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	SRP078165	0
Goretty	2019	Analysis_of_the_bacterial_communities_and_endosymbionts_of_natural_populations_of_Bemisia_tabaci_in_several_crop_fields_from_Mexico_semi-arid_zone	Annals_of_microbiology	Microbiology	Hemiptera	Aleyrodidae	Adults	Body	Whole	Yes	Protocol	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA521383	8
Green	2021	North_American_Fireflies_Host_Low_Bacterial_Diversity	Invertebrate_microbiology	Microbiome	Coleoptera	Lampyridae	>1_developmental_stage	Both	Whole_and_Gut	Yes	Protocol	V4	Yes	EBCs	22/133	No	Yes	NA	Yes	Decontam	No	NA	No	Yes	Yes	Yes	Yes	PRJNA563849	0
Green	2022	Trachymyrmex_septentrionalis_Ant_Microbiome_Assembly_Is_Unique_to_Individual_Colonies_and_Castes	mSphere	Microbiology	Hymenoptera	Formicidae	Adults	Both	Whole_and_Gut	Yes	Protocol	V4	Yes	EBCs	16/281	Yes	Yes	NA	Yes	Decontam	No	NA	No	No	Yes	Yes	Yes	PRJNA687229	1
Guo	2020	Characterization_of_bacterial_communities_associated_with_the_pinewood_nematode_insect_vector_Monochamus_alternatus_Hope_and_the_host_tree_Pinus_massoniana	BMS_GENOMICS	Microbiology	Coleoptera	Cerambycidae	>1_developmental_stage	Gut	Gut	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	Yes	PRJNA561715	0
Guo	2022	Bacterial_and_fungal_communities_within_and_among_geographic_samples_of_the_hemp_pest_Psylliodes_attenuata_from_China	Frontiers_in_microbiology	Microbiology	Coleoptera	Chrysomelidae	Adults	Body	Whole	Yes	Omega	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	No	Yes	PRJNA843905	1
Hadapad	2019	Bacterial_communities_in_the_gut_of_wild_and_mass-reared_Zeugodacus_cucurbitae_and_Bactrocera_dorsalis_revealed_by_metagenomic_sequencing	BMC_Microbiology	Microbiology	Diptera	Tephritidae	Adults	Gut	Gut	Yes	Invitrogen	V3-V4	No	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	Yes	No	No	NA	13
Haji	2022	Lack_of_host_phylogenetic_structure_in_the_gut_bacterial_communities_of_New_Zealand_cicadas_and_their_interspecific_hybrids	Scientific_reports	Microbiome	Hemiptera	Cicadidae	Adults	Gut	Gut	Yes	MoBio_Laboratories	V4	Yes	EBCs+PCRblanks	No	Yes	Yes	NA	Yes	Decontam	Yes	No	No	Yes	Yes	Yes	Yes	PRJNA879614	2
Hall	2021	Temporal_changes_in_the_microbiome_of_stingless_bee_foragers_following_colony_relocation	FEMS_microbiology_ecology	Melittology	Hymenoptera	Apidae	Adults	Body	Whole	No	Qiagen	V3-V4	Yes	EBCs	No	Yes	Yes	NA	No	NA	Yes	No	No	No	Yes	No	Yes	PRJNA629630	16
